Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;20315;"Nature Reviews Molecular Cell Biology";journal;"14710072, 14710080";35,910;Q1;508;123;336;11462;13599;153;34,50;93,19;29,41;1;20;United Kingdom;Western Europe;"Nature Publishing Group";"2000-2023";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
2;12464;"Nature Reviews Cancer";journal;"1474175X, 14741768";26,837;Q1;505;105;304;10805;10951;163;31,23;102,90;44,33;1;59;United Kingdom;Western Europe;"Nature Publishing Group";"2001-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3;18434;"Cell";journal;"00928674, 10974172";24,342;Q1;892;439;1496;32820;53447;1207;31,30;74,76;40,19;11;130;United States;Northern America;"Elsevier B.V.";"1974-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology"
4;15819;"Nature Medicine";journal;"1546170X, 10788956";19,045;Q1;630;595;1363;16478;36243;729;27,23;27,69;43,99;34;261;United Kingdom;Western Europe;"Nature Research";"1995-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
5;11600154092;"Current Protocols in Bioinformatics";journal;"19343396, 1934340X";18,663;Q1;71;0;19;0;963;19;0,00;0,00;0,00;0;0;United States;Northern America;"John Wiley & Sons Inc.";"2002-2020";"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Structural Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
6;16115;"Nature Biotechnology";journal;"15461696, 10870156";18,117;Q1;511;485;1066;13393;17008;461;13,24;27,61;35,19;3;64;United Kingdom;Western Europe;"Nature Publishing Group";"1989-2023";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology"
7;29093;"Cancer Cell";journal;"15356108, 18783686";17,507;Q1;398;178;590;11546;12604;360;19,83;64,87;41,91;0;157;United States;Northern America;"Cell Press";"2002-2023";"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
8;18990;"Nature Genetics";journal;"10614036, 15461718";17,300;Q1;639;336;654;13672;13100;504;19,88;40,69;37,01;4;100;United Kingdom;Western Europe;"Nature Publishing Group";"1992-2023";"Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
9;21100778827;"Nature Methods";journal;"15487091, 15487105";14,796;Q1;388;400;978;11477;15900;588;17,52;28,69;33,83;2;20;United Kingdom;Western Europe;"Nature Publishing Group";"2004-2023";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
10;18991;"Nature Reviews Genetics";journal;"14710056, 14710064";14,293;Q1;421;123;346;10202;6211;207;17,40;82,94;32,86;3;15;United Kingdom;Western Europe;"Nature Publishing Group";"2000-2023";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
11;21100862548;"Nature Catalysis";journal;"25201158";13,315;Q1;136;180;471;6682;12109;368;24,27;37,12;26,28;0;47;United States;Northern America;"Nature Publishing Group";"2018-2023";"Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
12;21101089342;"Nature Reviews Methods Primers";journal;"26628449";12,294;Q1;46;62;154;8174;4174;86;27,10;131,84;31,14;0;10;United States;Northern America;"Springer Nature";"2021-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
13;21101023100;"Nature Cancer";journal;"26621347";11,900;Q1;61;176;453;7513;5933;297;12,27;42,69;43,45;0;102;United States;Northern America;"Nature Research";"2020-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
