Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;23340;"Chemical Reviews";journal;"15206890, 00092665";17,828;Q1;833;271;851;115878;50519;819;49,76;427,59;30,50;2;78;United States;Northern America;"American Chemical Society";"1924-2023";"Chemistry (miscellaneous) (Q1)";"Chemistry"
2;21101142543;"Nano Research Energy";journal;"27910091, 27908119";14,707;Q1;32;46;35;4815;2160;34;61,71;104,67;36,44;0;23;China;Asiatic Region;"Tsinghua University Press";"2022-2023";"Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)";"Chemistry; Energy; Materials Science"
3;17854;"Nature Materials";journal;"14764660, 14761122";14,231;Q1;558;306;834;9499;20730;593;24,08;31,04;24,85;0;36;United Kingdom;Western Europe;"Nature Publishing Group";"2002-2023";"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Chemistry; Engineering; Materials Science; Physics and Astronomy"
4;23350;"Chemical Society Reviews";journal;"03060012, 14604744";12,511;Q1;635;252;983;61439;44032;979;38,71;243,81;32,40;0;81;United Kingdom;Western Europe;"Royal Society of Chemistry";"1972-2023";"Chemistry (miscellaneous) (Q1)";"Chemistry"
5;21101141505;"eScience";journal;"20972431, 26671417";12,288;Q1;44;60;79;4858;3323;78;42,06;80,97;33,06;0;35;China;Asiatic Region;"KeAi Communications Co.";"2021-2023";"Electrochemistry (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Materials Science"
6;21100826569;"Nature Reviews Chemistry";journal;"23973358";11,603;Q1;109;107;283;7360;5690;172;19,84;68,79;25,58;0;8;United Kingdom;Western Europe;"Nature Publishing Group";"2017-2023";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry"
7;21100832985;"ACS Energy Letters";journal;"23808195";7,202;Q1;195;606;1443;30127;28217;1382;18,42;49,71;30,17;0;335;United States;Northern America;"American Chemical Society";"2016-2023";"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Materials Science"
8;18100156701;"Nature Chemistry";journal;"17554330, 17554349";6,940;Q1;291;280;662;10961;8948;511;12,55;39,15;26,86;0;23;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2023";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry"
9;21101046230;"Electrochemical Energy Reviews";journal;"25208136, 25208489";6,791;Q1;62;34;93;8854;2587;93;26,49;260,41;29,13;0;26;Germany;Western Europe;"Springer Science and Business Media B.V.";"2018-2023";"Chemical Engineering (miscellaneous) (Q1); Electrochemistry (Q1); Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1)";"Chemical Engineering; Chemistry; Energy; Materials Science"
10;21100788876;"Chem";journal;"24519308, 24519294";6,556;Q1;144;281;798;14147;12069;634;12,19;50,35;29,08;0;159;United States;Northern America;"Elsevier Inc.";"2016-2023";"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Environmental Science; Materials Science; Medicine"
