Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;16115;"Nature Biotechnology";journal;"15461696, 10870156";18,117;Q1;511;485;1066;13393;17008;461;13,24;27,61;35,19;3;64;United Kingdom;Western Europe;"Nature Publishing Group";"1989-2023";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology"
2;21318;"Nature Reviews Immunology";journal;"14741741, 14741733";16,009;Q1;467;169;540;11148;13815;304;23,17;65,96;36,44;1;42;United Kingdom;Western Europe;"Nature Publishing Group";"2001-2023";"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine"
3;20651;"Annual Review of Immunology";journal;"15453278, 07320582";15,620;Q1;328;23;84;4178;2696;83;27,02;181,65;40,68;0;7;United States;Northern America;"Annual Reviews Inc.";"1983-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
4;20798;"Immunity";journal;"10974180, 10747613";13,578;Q1;455;233;688;15608;13409;550;16,89;66,99;40,35;1;95;United States;Northern America;"Cell Press";"1994-2023";"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)";"Immunology and Microbiology; Medicine"
5;21315;"Nature Immunology";journal;"15292908, 15292916";11,274;Q1;440;303;771;10345;10949;529;13,85;34,14;44,58;0;96;United Kingdom;Western Europe;"Nature Publishing Group";"2000-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
6;20313;"Nature Reviews Microbiology";journal;"17401534, 17401526";9,639;Q1;372;173;503;9764;12098;361;26,41;56,44;34,39;8;38;United Kingdom;Western Europe;"Nature Publishing Group";"2003-2023";"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)";"Immunology and Microbiology; Medicine"
7;21100860945;"Science immunology";journal;"24709468";8,761;Q1;106;152;517;9106;7832;497;14,04;59,91;41,87;1;67;United States;Northern America;"American Association for the Advancement of Science";"2016-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
8;21100773752;"Nature Microbiology";journal;"20585276";7,982;Q1;138;257;627;13099;9427;468;12,68;50,97;39,74;2;86;United Kingdom;Western Europe;"Nature Publishing Group";"2016-2023";"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
9;5300152732;"Cell Host and Microbe";journal;"19346069, 19313128";7,760;Q1;241;207;616;11553;8661;459;12,71;55,81;42,61;1;91;United States;Northern America;"Cell Press";"2007-2023";"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
10;21272;"Journal of Experimental Medicine";journal;"00221007, 15409538";6,838;Q1;490;222;815;10576;9703;779;10,15;47,64;44,04;0;68;United States;Northern America;"Rockefeller University Press";"1909-1910, 1929, 1935, 1938, 1945-2023";"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine"
11;19651;"Clinical Microbiology Reviews";journal;"08938512, 10986618";6,762;Q1;331;24;109;5483;2846;108;17,21;228,46;30,00;0;17;United States;Northern America;"American Society for Microbiology";"1988-2023";"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Immunology and Microbiology; Medicine"
12;19136;"Annals of the Rheumatic Diseases";journal;"00034967, 14682060";6,138;Q1;288;413;1445;10750;11076;597;7,71;26,03;42,89;12;104;United Kingdom;Western Europe;"BMJ Publishing Group";"1945-1948, 1950-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
13;17435;"EMBO Journal";journal;"02614189, 14602075";5,489;Q1;429;332;875;24492;8011;778;8,50;73,77;42,02;0;78;Germany;Western Europe;"Springer Nature";"1982-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
14;21101041613;"Lancet Microbe, The";journal;"26665247";5,392;Q1;42;194;397;4066;3371;164;8,42;20,96;49,22;0;106;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2023";"Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine"
15;4700152228;"Molecular Systems Biology";journal;"17444292";5,305;Q1;172;56;239;4036;2142;220;7,93;72,07;40,08;0;14;United Kingdom;Western Europe;"Springer Nature";"2005-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics; Medicine"
16;25454;"Blood";journal;"15280020, 00064971";5,272;Q1;525;819;2623;25762;20592;1657;7,41;31,46;44,18;10;303;United States;Northern America;"Elsevier B.V.";"1946-2023";"Biochemistry (Q1); Cell Biology (Q1); Hematology (Q1); Immunology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
17;3500148004;"Cellular and Molecular Immunology";journal;"20420226, 16727681";4,838;Q1;124;148;670;8892;8300;447;11,71;60,08;42,51;0;47;United Kingdom;Western Europe;"Nature Publishing Group";"2004-2023";"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine"
18;21100369870;"Lancet HIV,The";journal;"23523018";4,416;Q1;81;174;518;3310;2716;258;4,90;19,02;49,45;0;128;United Kingdom;Western Europe;"Elsevier Ltd";"2014-2023";"Epidemiology (Q1); Immunology (Q1); Infectious Diseases (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine"
19;21365;"Trends in Immunology";journal;"14714906, 14714981";4,163;Q1;256;114;334;7362;3400;318;8,57;64,58;41,61;0;45;United Kingdom;Western Europe;"Elsevier Ltd";"1987-1990, 1993-1994, 2001-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
20;19614;"Annual Review of Microbiology";journal;"00664227, 15453251";4,082;Q1;213;33;110;4145;1137;107;8,50;125,61;47,50;0;6;United States;Northern America;"Annual Reviews Inc.";"1948, 1950-1958, 1960, 1962-2023";"Medicine (miscellaneous) (Q1); Microbiology (Q1)";"Immunology and Microbiology; Medicine"
