Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;17436;"Nature Neuroscience";journal;"10976256, 15461726";12,261;Q1;479;281;622;12439;10101;497;14,93;44,27;39,09;2;13;United Kingdom;Western Europe;"Nature Research";"1998-2023";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
2;14181;"Annual Review of Neuroscience";journal;"0147006X, 15454126";8,658;Q1;261;20;76;2705;1168;76;13,12;135,25;40,00;0;1;United States;Northern America;"Annual Reviews Inc.";"1978-2023";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
3;17437;"Nature Reviews Neuroscience";journal;"14710048, 1471003X";7,860;Q1;474;109;405;9497;4615;256;11,20;87,13;41,21;1;6;United Kingdom;Western Europe;"Nature Publishing Group";"2000-2023";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
4;21100356804;"Lancet Psychiatry,The";journal;"22150374, 22150366";7,827;Q1;145;219;882;4322;9448;316;7,95;19,74;49,25;0;53;United Kingdom;Western Europe;"Elsevier Ltd";"2014-2023";"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
5;17978;"Neuron";journal;"10974199, 08966273";7,728;Q1;530;357;1184;23601;12277;943;9,43;66,11;38,91;1;27;United States;Northern America;"Cell Press";"1988-2023";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
6;17700156408;"Nature Reviews Neurology";journal;"17594766, 17594758";6,237;Q1;207;150;451;8192;5342;272;10,61;54,61;39,74;0;11;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2023";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
7;21100838541;"Nature Human Behaviour";journal;"23973374";6,097;Q1;98;263;623;13887;9322;448;13,00;52,80;35,20;20;50;United Kingdom;Western Europe;"Nature Publishing Group";"2017-2023";"Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Social Psychology (Q1)";"Neuroscience; Psychology"
8;15090;"Progress in Retinal and Eye Research";journal;"13509462, 18731635";5,923;Q1;189;52;159;14915;3186;158;19,93;286,83;36,45;2;5;United Kingdom;Western Europe;"Elsevier Ltd";"1990-1991, 1993-2023";"Ophthalmology (Q1); Sensory Systems (Q1)";"Medicine; Neuroscience"
9;21101083188;"Nature Aging";journal;"26628465";5,705;Q1;30;199;282;7723;2481;174;8,80;38,81;43,10;5;23;Germany;Western Europe;"Springer";"2021-2023";"Aging (Q1); Geriatrics and Gerontology (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
10;17435;"EMBO Journal";journal;"02614189, 14602075";5,489;Q1;429;332;875;24492;8011;778;8,50;73,77;42,02;0;78;Germany;Western Europe;"Springer Nature";"1982-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
