Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;20425;"Nature Reviews Drug Discovery";journal;"14741784, 14741776";22,399;Q1;391;239;731;8584;13091;153;19,72;35,92;34,15;5;61;United Kingdom;Western Europe;"Nature Publishing Group";"2002-2023";"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
2;21191;"Pharmacological Reviews";journal;"15210081, 00316997";6,050;Q1;254;35;102;13259;2111;100;19,42;378,83;33,99;0;12;United States;Northern America;"American Society for Pharmacology and Experimental Therapeutics";"1949, 1951-2023";"Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
3;12611;"Drug Resistance Updates";journal;"13687646, 15322084";4,665;Q1;132;74;76;6493;1477;75;17,53;87,74;34,58;0;59;United States;Northern America;"Churchill Livingstone";"1998-2023";"Cancer Research (Q1); Infectious Diseases (Q1); Oncology (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
4;19600166320;"Protein and Cell";journal;"16748018, 1674800X";4,412;Q1;94;83;257;551;2693;152;12,12;6,64;42,80;0;24;United Kingdom;Western Europe;"Oxford University Press";"2010-2023";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Drug Discovery (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
5;19479;"Annual Review of Pharmacology and Toxicology";journal;"15454304, 03621642";3,957;Q1;224;32;103;4593;1346;103;11,26;143,53;35,63;0;18;United States;Northern America;"Annual Reviews Inc.";"1965-1973, 1975-2023";"Pharmacology (Q1); Toxicology (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
6;12455;"Molecular Therapy";journal;"15250024, 15250016";3,736;Q1;209;288;830;15752;7824;717;9,43;54,69;42,79;0;116;United States;Northern America;"Cell Press";"2000-2023";"Drug Discovery (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
7;21100466864;"Journal for ImmunoTherapy of Cancer";journal;"20511426";3,728;Q1;117;445;1590;19408;14743;1571;8,71;43,61;42,99;0;391;United Kingdom;Western Europe;"BMJ Publishing Group";"2013-2023";"Cancer Research (Q1); Immunology (Q1); Immunology and Allergy (Q1); Molecular Medicine (Q1); Oncology (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
8;4700152457;"Nano Today";journal;"1878044X, 17480132";3,483;Q1;175;275;635;24164;9420;605;13,75;87,87;39,78;2;137;Netherlands;Western Europe;"Elsevier B.V.";"1970, 2006-2023";"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
9;19409;"Advanced Drug Delivery Reviews";journal;"0169409X, 18728294";3,411;Q1;366;198;737;40639;12569;702;15,21;205,25;40,22;0;63;Netherlands;Western Europe;"Elsevier B.V.";"1987-2023";"Pharmaceutical Science (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
10;22321;"Trends in Pharmacological Sciences";journal;"18733735, 01656147";3,232;Q1;244;108;297;6396;3109;284;10,30;59,22;37,31;0;38;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2023";"Pharmacology (Q1); Toxicology (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
11;21195;"Pharmacology and Therapeutics";journal;"1879016X, 01637258";3,150;Q1;233;156;530;30757;6855;530;12,19;197,16;40,71;0;90;United States;Northern America;"Elsevier Inc.";"1975-1977, 1979-1985, 1987-2023";"Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
