Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21206;"Nature";journal;"14764687, 00280836";18,509;Q1;1391;3770;8037;74917;160102;3840;19,40;19,87;38,12;111;901;United Kingdom;Western Europe;"Nature Research";"1869-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
2;23571;"Science";journal;"10959203, 00368075";11,902;Q1;1336;2181;8261;42348;117779;4229;13,46;19,42;33,89;48;328;United States;Northern America;"American Association for the Advancement of Science";"1880-1881, 1883-2023";"History and Philosophy of Science (Q1); Multidisciplinary (Q1)";"Arts and Humanities; Multidisciplinary"
3;21101038708;"The Innovation";journal;"26666758";7,268;Q1;41;143;294;5368;5223;177;19,20;37,54;34,51;0;45;United States;Northern America;"Cell Press";"2020-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
4;21100457028;"Science advances";journal;"23752548";4,483;Q1;252;2120;6342;138962;80234;6311;11,18;65,55;35,25;21;552;United States;Northern America;"American Association for the Advancement of Science";"2015-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
5;21121;"Proceedings of the National Academy of Sciences of the United States of America";journal;"10916490, 00278424";3,737;Q1;869;3661;12117;194987;110408;11055;8,18;53,26;35,74;54;987;United States;Northern America;"National Academy of Sciences";"1945-1951, 1961-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
6;21100409368;"National Science Review";journal;"20955138, 2053714X";2,934;Q1;107;351;807;15176;8387;664;9,67;43,24;32,43;0;79;United Kingdom;Western Europe;"Oxford University Press";"2014-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
7;21100405003;"Science Bulletin";journal;"20959273, 20959281";2,807;Q1;148;485;1108;17495;11378;812;9,81;36,07;35,14;0;104;Netherlands;Western Europe;"Elsevier B.V.";"2015-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
8;21100943285;"Research";journal;"26395274, 20965168";2,102;Q1;51;253;464;17148;4084;463;7,99;67,78;36,03;0;69;United States;Northern America;"American Association for the Advancement of Science";"2018-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
9;19700168304;"Journal of Advanced Research";journal;"20901224, 20901232";1,905;Q1;93;315;450;26414;5200;449;11,79;83,85;40,13;1;146;Netherlands;Western Europe;"Elsevier B.V.";"2010-2023";"Multidisciplinary (Q1)";"Multidisciplinary"
10;25522;"Tsinghua Science and Technology";journal;"10070214";1,580;Q1;59;92;227;3397;1508;227;7,26;36,92;38,44;0;15;China;Asiatic Region;"Tsinghua University";"2003-2024";"Multidisciplinary (Q1)";"Multidisciplinary"
